Word,Correct synonym,Chosen Word,Type
enormously,tremendously,decidedly,wrong
provisions,stipulations,interpretations,wrong
haphazardly,randomly,linearly,wrong
prominent,conspicuous,conspicuous,right
zenith,pinnacle,decline,wrong
flawed,imperfect,crude,wrong
urgently,desperately,desperately,right
consumed,eaten,supplied,wrong
advent,coming,stability,wrong
concisely,succinctly,succinctly,right
salutes,greetings,privileges,wrong
solitary,alone,fearless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,disturbance,wrong
fanciful,imaginative,logical,wrong
showed,demonstrated,postponed,wrong
constantly,continually,accidentally,wrong
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,complicated,wrong
recognized,acknowledged,welcomed,wrong
spot,location,location,right
make,earn,borrow,wrong
often,frequently,hardly,wrong
easygoing,relaxed,relaxed,right
debate,argument,competition,wrong
narrow,thin,poisonous,wrong
arranged,planned,discarded,wrong
infinite,limitless,structural,wrong
showy,striking,incidental,wrong
levied,imposed,correlated,wrong
deftly,skillfully,humorously,wrong
distribute,circulate,acknowledge,wrong
discrepancies,differences,differences,right
prolific,productive,promising,wrong
unmatched,unequaled,emulated,wrong
peculiarly,uniquely,suspiciously,wrong
hue,color,scent,wrong
hind,rear,rear,right
highlight,accentuate,restore,wrong
hastily,hurriedly,chronologically,wrong
temperate,mild,windy,wrong
grin,smile,smile,right
verbally,orally,verbosely,wrong
physician,doctor,doctor,right
essentially,basically,ordinarily,wrong
keen,sharp,sharp,right
situated,positioned,positioned,right
principal,major,exceptional,wrong
slowly,gradually,continuously,wrong
built,constructed,organized,wrong
tasks,jobs,jobs,right
unlikely,improbable,unpopular,wrong
halfheartedly,apathetically,unconventionally,wrong
annals,chronicles,songs,wrong
wildly,furiously,furiously,right
hailed,acclaimed,addressed,wrong
command,mastery,mastery,right
concocted,devised,supervised,wrong
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,analyzed,wrong
perilous,dangerous,dangerous,right
tranquillity,peacefulness,dangerous,guess
dissipate,disperse,photograph,wrong
primarily,chiefly,chiefly,right
colloquial,conversational,conversational,right
resolved,settled,examined,wrong
feasible,possible,evident,wrong
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,profit,wrong
terminated,ended,evaluated,wrong
uniform,alike,sharp,wrong
figure,solve,express,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,right
marketed,sold,diluted,wrong
bigger,larger,better,wrong
roots,origins,function,wrong
normally,ordinarily,periodically,wrong
